,substancia,cnpj,laboratorio,codigo_ggrem,registro,ean_1,ean_2,ean_3,produto,apresentacao,classe_terapeutica,tipo_de_produto_status_do_produto,regime_de_preco,pf_sem_impostos,pf_0,pf_12,pf_17,pf_17_alc,pf_175,pf_175_alc,pf_18,pf_18_alc,pf_20,pmc_0,pmc_12,pmc_17,pmc_17_alc,pmc_175,pmc_175_alc,pmc_18,pmc_18_alc,pmc_20,restricao_hospitalar,cap,confaz_87,icms_0,analise_recursal,lista_de_concessao_de_credito_tributario_piscofins,comercializacao_2020,tarja,mes,ano,pf_19,pf_21,pf_22,pmc_19,pmc_21,pmc_22,comercializacao_2022,unnamed_4,comercializacao_2019,pf_12_alc,pf_19_alc,pf_195,pf_195_alc,pf_20_alc,pf_205,pf_21_alc,pf_22_alc,pmc_sem_imposto,pmc_12_alc,pmc_19_alc,pmc_195,pmc_195_alc,pmc_20_alc,pmc_205,pmc_21_alc,pmc_22_alc,destinacao_comercial_,comercializacao_2018
0,AFLIBERCEPTE,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502817040072707,1130011480010,7891058017026,    -     ,    -     ,ZALTRAP,25 MG/ML SOL DIL INFUS CT FA VD TRANSP X 4 ML,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,Biológico,Regulado,"1306,49","1306,49","1484,65","1574,08","1574,08","1583,62","1583,62","1593,28","1593,28","1633,11",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AFLIBERCEPTE,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502817040072807,1130011480037,7891058017033,    -     ,    -     ,ZALTRAP,25 MG/ML SOL DIL INFUS CT FA VD TRANSP X 8 ML ,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,Biológico,Regulado,"2612,98","2612,98","2969,30","3148,17","3148,17","3167,25","3167,25","3186,56","3186,56","3266,23",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AFLIBERCEPTE,18.459.628/0001-15,BAYER S.A.,538913020021302,1705600970011,7891106907439,    -     ,    -     ,EYLIA,"40 MG/ML SOL INJ IVIT CT 1 FA VD TRANS X 0,278 ML + AGU",S1P - PRODUTOS PARA NEOVASCULARIZAÇÃO OCULAR,Biológico,Regulado,"3923,35","3923,35","4458,35","4726,93","4726,93","4755,57","4755,57","4784,57","4784,57","4904,19",5423.8,6163.41,6534.7,6534.7,6574.3,6574.3,6614.39,6614.39,6779.75,False,True,False,False,,Positiva,Sim,Tarja Vermelha(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AFLIBERCEPTE,18.459.628/0001-15,BAYER S.A.,538913020021402,1705600970028,7891106907446,    -     ,    -     ,EYLIA,"40 MG/ML SOL INJ IVIT CT SER PREENC VD TRANS X 0,165 ML",S1P - PRODUTOS PARA NEOVASCULARIZAÇÃO OCULAR,Biológico,Regulado,"3923,35","3923,35","4458,35","4726,93","4726,93","4755,57","4755,57","4784,57","4784,57","4904,19",5423.8,6163.41,6534.7,6534.7,6574.3,6574.3,6614.39,6614.39,6779.75,False,True,False,False,,Positiva,Não,Tarja Vermelha(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AFLIBERCEPTE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720050068217,1832603380012,7891058017026,    -     ,    -     ,ZALTRAP,25 MG/ML SOL DIL INFUS IV CT FA VD TRANSP X 4 ML,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,Biológico,Regulado,"1306,49","1306,49","1484,65","1574,08","1574,08","1583,62","1583,62","1593,28","1593,28","1633,11",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja Vermelha(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AFLIBERCEPTE,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720050068317,1832603380020,7891058017033,    -     ,    -     ,ZALTRAP,25 MG/ML SOL DIL INFUS IV CT FA VD TRANSP X 8 ML ,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,Biológico,Regulado,"2612,98","2612,98","2969,30","3148,17","3148,17","3167,25","3167,25","3186,56","3186,56","3266,23",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja Vermelha(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BEVACIZUMABE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522722050090607,1211004740010,7891045033183,    -     ,    -     ,ZIRABEV,25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,"L1G2 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, VEGF/VEGFR",Biológico,Regulado,"1039,12","1039,12","1180,82","1251,95","1251,95","1259,54","1259,54","1267,22","1267,22","1298,90",,,,,,,,,,True,False,True,False,,Positiva,Não,Tarja -(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BEVACIZUMABE,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522722050090707,1211004740029,7891045033206,    -     ,    -     ,ZIRABEV,25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,"L1G2 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, VEGF/VEGFR",Biológico,Regulado,"3823,73","3823,73","4345,15","4606,90","4606,90","4634,82","4634,82","4663,08","4663,08","4779,66",,,,,,,,,,True,False,True,False,,Positiva,Não,Tarja -(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BEVACIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529207901139218,1010006370015,7896226505015,    -     ,    -     ,AVASTIN,25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML ,"L1G2 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, VEGF/VEGFR",Biológico,Regulado,"1708,68","1708,68","1941,68","2058,65","2058,65","2071,13","2071,13","2083,76","2083,76","2135,85",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja Vermelha(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BEVACIZUMABE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529207902151211,1010006370023,7896226505022,    -     ,    -     ,AVASTIN,25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML ,"L1G2 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, VEGF/VEGFR",Biológico,Regulado,"6615,85","6615,85","7518,01","7970,90","7970,90","8019,21","8019,21","8068,11","8068,11","8269,81",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja Vermelha(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
