,substancia,cnpj,laboratorio,codigo_ggrem,registro,ean_1,ean_2,ean_3,produto,apresentacao,classe_terapeutica,tipo_de_produto_status_do_produto,regime_de_preco,pf_sem_impostos,pf_0,pf_12,pf_17,pf_17_alc,pf_175,pf_175_alc,pf_18,pf_18_alc,pf_20,pmc_0,pmc_12,pmc_17,pmc_17_alc,pmc_175,pmc_175_alc,pmc_18,pmc_18_alc,pmc_20,restricao_hospitalar,cap,confaz_87,icms_0,analise_recursal,lista_de_concessao_de_credito_tributario_piscofins,comercializacao_2020,tarja,mes,ano,pf_19,pf_21,pf_22,pmc_19,pmc_21,pmc_22,comercializacao_2022,unnamed_4,comercializacao_2019,pf_12_alc,pf_19_alc,pf_195,pf_195_alc,pf_20_alc,pf_205,pf_21_alc,pf_22_alc,pmc_sem_imposto,pmc_12_alc,pmc_19_alc,pmc_195,pmc_195_alc,pmc_20_alc,pmc_205,pmc_21_alc,pmc_22_alc,destinacao_comercial_,comercializacao_2018
0,CARBOPLATINA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504401302150416,1163700140026,7896014665303,    -     ,    -     ,B -PLATIN,10 MG / ML    SOL INJ CT FA VD AMB X 5 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"106,44","106,44","120,95","128,24","128,24","129,02","129,02","129,80","129,80","133,05",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CARBOPLATINA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504401303157414,1163700140042,7896014665327,    -     ,    -     ,B -PLATIN,10 MG / ML SOL INJ CT  FA VD AMB X 45 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"958,05","958,05","1088,69","1154,28","1154,28","1161,27","1161,27","1168,35","1168,35","1197,56",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CARBOPLATINA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504401304153412,1163700140034,7896014665310,    -     ,    -     ,B -PLATIN,10 MG / ML SOL INJ CT FA VD AMB X 15 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"317,58","317,58","360,89","382,63","382,63","384,95","384,95","387,29","387,29","396,98",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CARBOPLATINA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504420030065907,1163700140050,7896014665129,    -     ,    -     ,B -PLATIN,150 MG PO LIOF SOL INJ CT FA VD AMB,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"254,68","254,68","289,41","306,84","306,84","308,70","308,70","310,59","310,59","318,35",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja -(*),07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CARBOPLATINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618090007917,1168800260040,7898179364930,    -     ,    -     ,EVOCARB,10 MG/ML PO LIOF INJ CT 10 FA VD AMB X 15 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"2513,94","2513,94","2856,75","3028,84","3028,84","3047,20","3047,20","3065,78","3065,78","3142,43",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBOPLATINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618090008017,1168800260024,7898179364947,    -     ,    -     ,EVOCARB,10 MG/ML PO LIOF INJ CT 10 FA VD AMB X 5 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"837,98","837,98","952,25","1009,61","1009,61","1015,73","1015,73","1021,93","1021,93","1047,48",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CARBOPLATINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618090008117,1168800260016,7898179364794,    -     ,    -     ,EVOCARB,10 MG/ML PO LIOF INJ CT FA VD AMB X 5 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"83,79","83,79","95,22","100,95","100,95","101,56","101,56","102,18","102,18","104,74",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CARBOPLATINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618090008217,1168800260059,7898179364817,    -     ,    -     ,EVOCARB,10 MG/ML PO LIOF INJ CT FA VD AMB X 45 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"754,17","754,17","857,01","908,64","908,64","914,15","914,15","919,72","919,72","942,71",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CARBOPLATINA,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508618090008317,1168800260032,7898179364800,    -     ,    -     ,EVOCARB,10 MG/ML PO LIOF INJ CT FA VD AMB X 15 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"251,39","251,39","285,67","302,88","302,88","304,72","304,72","306,57","306,57","314,24",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CARBOPLATINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522717110062317,1211003760026,7891268105704,    -     ,    -     ,PLATAMINE CS,10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"179,77","179,77","204,28","216,59","216,59","217,90","217,90","219,23","219,23","224,71",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CARBOPLATINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522717110062417,1211003760034,7891268105711,    -     ,    -     ,PLATAMINE CS,10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"541,63","541,63","615,49","652,57","652,57","656,52","656,52","660,52","660,52","677,04",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CARBOPLATINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522717110062617,1211003760018,7891268105728,    -     ,    -     ,PLATAMINE CS,10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"88,95","88,95","101,08","107,17","107,17","107,82","107,82","108,48","108,48","111,19",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CARBOPLATINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523707204152416,1003301330050,7896094207998,    -     ,    -     ,FAULDCARBO,10 MG / ML SOL INJ CT FA VD AMB X 15 ML ,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"703,71","703,71","799,67","847,84","847,84","852,98","852,98","858,18","858,18","879,64",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CARBOPLATINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523707205159414,1003301330069,7896094208001,    -     ,    -     ,FAULDCARBO,10 MG / ML SOL INJ CT FA VD AMB X 45 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"1823,35","1823,35","2071,99","2196,81","2196,81","2210,12","2210,12","2223,60","2223,60","2279,19",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CARBOPLATINA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523707206155412,1003301330042,7896094207981,    -     ,    -     ,FAULDCARBO,10 MG / ML SOL INJ CT FA VD AMB X 5 ML ,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"348,35","348,35","395,85","419,70","419,70","422,24","422,24","424,82","424,82","435,44",,,,,,,,,,True,False,False,False,,Positiva,Sim,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CARBOPLATINA,64.711.500/0001-14,UCB BIOPHARMA LTDA.,525217040021604,1236100600017,7895197130097,    -     ,    -     ,CITOPLATINA,10 MG/ ML SOL INJ CX 1 FA VD AMB X 5 ML,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"168,26","168,26","191,20","202,72","202,72","203,95","203,95","205,20","205,20","210,33",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CARBOPLATINA,64.711.500/0001-14,UCB BIOPHARMA LTDA.,525217040021704,1236100600025,7895197130042,    -     ,    -     ,CITOPLATINA,10 MG/ ML SOL INJ CX 1 FA VD AMB X 15 ML ,L1F - COMPOSTOS ANTINEOPLÁSICOS DE PLATINA,Similar,Regulado,"213,26","213,26","242,34","256,94","256,94","258,50","258,50","260,07","260,07","266,58",,,,,,,,,,True,False,False,False,,Positiva,Não,Tarja  Vermelha,07,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
